Timestamp,Name (Optional),Age,Gender,Marital Status,Employment Status,Current Region ,Would you agree that you frequently shop online?,Where do you shop more often?,Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Apparel/Clothing],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Health & Personal Care],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Home Entertainment (TV, Speakers, Online Streaming Subscription, Etc.)]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Babies & Kids],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Food/Groceries],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Toys, Games, Collectibles]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Bags],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Stationery],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Books],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Sports & Travel],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Wearable Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Automobile Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Cameras/Camera Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Laptops/Computers],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Tech Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Pet Care/Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Power Tools],BACK TO SCHOOL - Please select all items that you would typically buy during this season.,SUMMER - Please select all items that you would typically buy during this season.
4/3/2022 16:49:47,"Biteng, Rafael L.",20,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,"Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,"Christmas/New Year/Holiday Season, When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,"Birthdays (Self/As a Gift), When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, Laptop, Tech Products/Tech Accessories","Clothing, Swimsuit, Ice Cooler"
4/3/2022 16:53:10,,49,Female,Married,Employed,Region III - Central Luzon,3,Physical Stores,Christmas/New Year/Holiday Season,When Needed,When Needed,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials",Water Bottles
4/3/2022 16:56:47,Edward John A. Menor,21,Male,Single,Student,NCR - National Capital Region,4,Online Stores,Christmas/New Year/Holiday Season,When Needed,,,,Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,When Needed,When Needed,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,,,When Needed,When Needed,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Raincoat, Bags/School Bags",Umbrellas
4/3/2022 16:59:08,Miks,21,Female,Single,Student,Region I - Ilocos Region,4,Online Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,Christmas/New Year/Holiday Season,Monthly/Weekly Basis (Payday Sales),When Needed,,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, Tech Products/Tech Accessories, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Swim Goggles, Towels, Water Bottles, Inflatable Pools, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
4/3/2022 17:12:14,,20,Female,Single,Student,Region III - Central Luzon,4,Online Stores,"Christmas/New Year/Holiday Season, When Needed",When Needed,Monthly/Weekly Basis (Payday Sales),,Monthly/Weekly Basis (Payday Sales),,When Needed,When Needed,,,When Needed,When Needed,,,When Needed,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Umbrella, Bags/School Bags","Clothing, Umbrellas"
4/3/2022 17:15:27,,20,Female,Single,Student,CAR - Cordillera Administrative Region,5,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",,When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",,Birthdays (Self/As a Gift),,,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products"
4/3/2022 17:30:07,,21,Male,Single,Student,Region III - Central Luzon,4,Online Stores,,,Birthdays (Self/As a Gift),,,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),,,Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),,,Birthdays (Self/As a Gift),,Birthdays (Self/As a Gift),"Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags",Swim Snorkles
4/3/2022 17:50:20,,22,Male,Single,Student,Region III - Central Luzon,3,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",Christmas/New Year/Holiday Season,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),"Birthdays (Self/As a Gift), When Needed",When Needed,"Birthdays (Self/As a Gift), When Needed",When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, When Needed",Monthly/Weekly Basis (Payday Sales),When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Water Bottles, Ice Cooler"
4/3/2022 17:52:31,,20,Female,Single,Student,Region III - Central Luzon,5,Online Stores,"Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,When Needed,,"Birthdays (Self/As a Gift), When Needed",When Needed,"Birthdays (Self/As a Gift), When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Raincoat, Make up/Beauty Products","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Water Bottles"
4/3/2022 17:59:26,Diane,20,Female,Single,Student,Region III - Central Luzon,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),,,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),,,,,,,,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing",Umbrellas
4/3/2022 18:04:04,,21,Male,Single,Student,CAR - Cordillera Administrative Region,4,Physical Stores,When Needed,When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Academic Books, Tech Products/Tech Accessories, Umbrella, Bags/School Bags","Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles"
4/3/2022 18:07:01,Ad,21,Male,Single,Student,Region III - Central Luzon,3,Physical Stores,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,Christmas/New Year/Holiday Season,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Academic Books, Art Materials","Clothing, Sunscreen/Heat-Protectant Skin Products, Water Bottles, Ice Cooler, Inflatable Pools"
4/3/2022 18:23:32,,21,Female,Single,Student,CAR - Cordillera Administrative Region,4,Online Stores,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit"
4/3/2022 18:53:15,Juanito Soriano III,21,Male,Single,Student,Region I - Ilocos Region,1,Physical Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Raincoat, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Swim Cap, Swim Goggles, Swim Snorkles, Towels, Bags, Water Bottles, Ice Cooler, Inflatable Pools, Pool Toys, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
4/3/2022 19:41:06,Clarissa Acosta Cayton ,51,Female,Married,Employed,Region III - Central Luzon,4,Physical Stores,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Swim Goggles"
4/3/2022 19:48:36,Vincent Singo,21,Male,Single,Student,Region III - Central Luzon,3,Online Stores,"Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,,"Monthly/Weekly Basis (Payday Sales), When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),"Birthdays (Self/As a Gift), When Needed",,Birthdays (Self/As a Gift),"Birthdays (Self/As a Gift), When Needed",,When Needed,,"Pen/Marker/Pencil/Scriber, Academic Books, Art Materials, Laptop","Clothing, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
4/3/2022 20:06:19,,20,Male,Single,Student,CAR - Cordillera Administrative Region,2,Physical Stores,When Needed,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Bags/School Bags","Clothing, Bags"
4/3/2022 21:21:36,Jennie Menor,19,Female,Single,Student,NCR - National Capital Region,4,Online Stores,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles"
4/3/2022 22:32:44,Arabela Menor,16,Female,Single,Student,NCR - National Capital Region,4,Online Stores,Birthdays (Self/As a Gift),When Needed,When Needed,,When Needed,,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,,When Needed,,,When Needed,,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, School Uniforms/Clothing, Bags/School Bags","Umbrellas, Sunscreen/Heat-Protectant Skin Products"
4/3/2022 23:14:18,,22,Male,Single,Student,NCR - National Capital Region,4,Online Stores,When Needed,When Needed,,,,Monthly/Weekly Basis (Payday Sales),When Needed,,When Needed,Birthdays (Self/As a Gift),,,,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Umbrella, Bags/School Bags","Clothing, Umbrellas, Water Bottles"
4/4/2022 0:15:22,,21,Female,Single,Student,CAR - Cordillera Administrative Region,5,Online Stores,"Christmas/New Year/Holiday Season, When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Umbrella","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Towels"
4/4/2022 10:19:58,Jennifer,48,Female,Married,Unemployed,NCR - National Capital Region,4,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,,Birthdays (Self/As a Gift),,,,When Needed,,Birthdays (Self/As a Gift),,,When Needed,,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels"
4/4/2022 13:40:28,lynz,20,Female,Single,Unemployed,Other,4,Physical Stores,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Tech Products/Tech Accessories, School Uniforms/Clothing, Bags/School Bags, Make up/Beauty Products","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Swim Cap, Towels, Bags, Water Bottles, Pool Toys, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
